Original Format,Course Code,Course Code And Number,Course name,Course Number,Subjects
ARTH 25400 - Architecture: Renaissance to Neo-Classical ,ARTH,ARTH 25400 , Architecture: Renaissance to Neo-Classical ,25400 ,Art Theory and History
ARTH 25500 - Modern Architecture I (1850- 1950) ,ARTH,ARTH 25500 , Modern Architecture I (1850- 1950) ,25500 ,Art Theory and History
ARTH 25600 - Modern Architecture II (from 1950 until today) ,ARTH,ARTH 25600 , Modern Architecture II (from 1950 until today) ,25600 ,Art Theory and History
ARTH 25700 - Postwar and Contemporary Art in Latin America ,ARTH,ARTH 25700 , Postwar and Contemporary Art in Latin America ,25700 ,Art Theory and History
ARTH 26000 - Islamic Art and Architecture ,ARTH,ARTH 26000 , Islamic Art and Architecture ,26000 ,Art Theory and History
ARTH 26200 - Art of East Asia: Ritual and Religion ,ARTH,ARTH 26200 , Art of East Asia: Ritual and Religion ,26200 ,Art Theory and History
ARTH 26300 - Art of East Asia: Painting and Calligraphy ,ARTH,ARTH 26300 , Art of East Asia: Painting and Calligraphy ,26300 ,Art Theory and History
ARTH 27000 - Art of Africa and Oceania ,ARTH,ARTH 27000 , Art of Africa and Oceania ,27000 ,Art Theory and History
ARTH 28000 - History of Photography ,ARTH,ARTH 28000 , History of Photography ,28000 ,Art Theory and History
ARTH 30000 - Research Methods of Art History Seminar  ,ARTH,ARTH 30000 , Research Methods of Art History Seminar  ,30000 ,Art Theory and History
ARTH 31100 - Special Topics Lecture in Ancient Art  ,ARTH,ARTH 31100 , Special Topics Lecture in Ancient Art  ,31100 ,Art Theory and History
ARTH 32100 - Special Topics Lecture in Medieval Art  ,ARTH,ARTH 32100 , Special Topics Lecture in Medieval Art  ,32100 ,Art Theory and History
ARTH 33100 - Special Topics Lecture in Renaissance Art  ,ARTH,ARTH 33100 , Special Topics Lecture in Renaissance Art  ,33100 ,Art Theory and History
ARTH 34100 - Special Topics Lecture in Baroque Art  ,ARTH,ARTH 34100 , Special Topics Lecture in Baroque Art  ,34100 ,Art Theory and History
ARTH 35100 - Special Topics Lecture in Modern Art  ,ARTH,ARTH 35100 , Special Topics Lecture in Modern Art  ,35100 ,Art Theory and History
ARTH 36100 - Special Topics Lecture in Islamic Art  ,ARTH,ARTH 36100 , Special Topics Lecture in Islamic Art  ,36100 ,Art Theory and History
ARTH 37100 - Special Topics Lecture in Asian Art  ,ARTH,ARTH 37100 , Special Topics Lecture in Asian Art  ,37100 ,Art Theory and History
ARTH 38100 - Special Topics Lecture in Art History  ,ARTH,ARTH 38100 , Special Topics Lecture in Art History  ,38100 ,Art Theory and History
ARTH 40200 - Independent Study in Art History ,ARTH,ARTH 40200 , Independent Study in Art History ,40200 ,Art Theory and History
ARTH 41000 - Advanced Studies Seminar in Ancient Art  ,ARTH,ARTH 41000 , Advanced Studies Seminar in Ancient Art  ,41000 ,Art Theory and History
ARTH 42000 - Advanced Studies Seminar in Medieval Art ,ARTH,ARTH 42000 , Advanced Studies Seminar in Medieval Art ,42000 ,Art Theory and History
ARTH 43000 - Advanced Studies Seminar in Renaissance Art  ,ARTH,ARTH 43000 , Advanced Studies Seminar in Renaissance Art  ,43000 ,Art Theory and History
ARTH 44000 - Advanced Studies Seminar in Baroque Art  ,ARTH,ARTH 44000 , Advanced Studies Seminar in Baroque Art  ,44000 ,Art Theory and History
ARTH 45000 - Advanced Studies Seminar in Modern Art  ,ARTH,ARTH 45000 , Advanced Studies Seminar in Modern Art  ,45000 ,Art Theory and History
ARTH 46000 - Advanced Studies Seminar in Islamic Art  ,ARTH,ARTH 46000 , Advanced Studies Seminar in Islamic Art  ,46000 ,Art Theory and History
ARTH 47000 - Advanced Studies Seminar in Asian Art  ,ARTH,ARTH 47000 , Advanced Studies Seminar in Asian Art  ,47000 ,Art Theory and History
ARTH 48000 - Advanced Studies Seminar in Art History  ,ARTH,ARTH 48000 , Advanced Studies Seminar in Art History  ,48000 ,Art Theory and History
ARTH 49800 - Internship ,ARTH,ARTH 49800 , Internship ,49800 ,Art Theory and History
ARTCR 22100 - Drawing ,ARTCR,ARTCR 22100 , Drawing ,22100 ,Studio Art
ARTCR 22500 - Graphic Arts Workshop ,ARTCR,ARTCR 22500 , Graphic Arts Workshop ,22500 ,Studio Art
ARTCR 23500 - Painting ,ARTCR,ARTCR 23500 , Painting ,23500 ,Studio Art
ARTCR 24000 - Watercolor Painting ,ARTCR,ARTCR 24000 , Watercolor Painting ,24000 ,Studio Art
ARTCR 25100 - Sculpture ,ARTCR,ARTCR 25100 , Sculpture ,25100 ,Studio Art
ARTCR 25700 - Ceramics ,ARTCR,ARTCR 25700 , Ceramics ,25700 ,Studio Art
ARTCR 27100 - Principles of Photography ,ARTCR,ARTCR 27100 , Principles of Photography ,27100 ,Studio Art
ARTCR 29000 - Combined Media ,ARTCR,ARTCR 29000 , Combined Media ,29000 ,Studio Art
ARTCR 30100 - Advanced Studio ,ARTCR,ARTCR 30100 , Advanced Studio ,30100 ,Studio Art
ARTCR 32200 - Advanced Drawing ,ARTCR,ARTCR 32200 , Advanced Drawing ,32200 ,Studio Art
ARTCR 32600 - Advanced Graphic Arts Workshop ,ARTCR,ARTCR 32600 , Advanced Graphic Arts Workshop ,32600 ,Studio Art
ARTCR 33600 - Advanced Painting ,ARTCR,ARTCR 33600 , Advanced Painting ,33600 ,Studio Art
ARTCR 35200 - Advanced Sculpture ,ARTCR,ARTCR 35200 , Advanced Sculpture ,35200 ,Studio Art
ARTCR 35700 - Advanced Ceramics ,ARTCR,ARTCR 35700 , Advanced Ceramics ,35700 ,Studio Art
ARTCR 36000 - Special Projects ,ARTCR,ARTCR 36000 , Special Projects ,36000 ,Studio Art
ARTCR 37200 - Advanced Photography ,ARTCR,ARTCR 37200 , Advanced Photography ,37200 ,Studio Art
ARTCR 39000 - Combined Media ,ARTCR,ARTCR 39000 , Combined Media ,39000 ,Studio Art
ARTCR 40200 - Independent Study in Studio Art ,ARTCR,ARTCR 40200 , Independent Study in Studio Art ,40200 ,Studio Art
ARTCR 40500 - Art and Current Ideas II ,ARTCR,ARTCR 40500 , Art and Current Ideas II ,40500 ,Studio Art
ARTCR 45900 - Professional Experience in Art I ,ARTCR,ARTCR 45900 , Professional Experience in Art I ,45900 ,Studio Art
ARTCR 46000 - Professional Experience in Art II ,ARTCR,ARTCR 46000 , Professional Experience in Art II ,46000 ,Studio Art
ARTCR 49800 - Internship ,ARTCR,ARTCR 49800 , Internship ,49800 ,Studio Art
"ARTLA 20100 - Art Foundations: Seeing, Thinking, Making ",ARTLA,ARTLA 20100 ," Art Foundations: Seeing, Thinking, Making ",20100 ,Studio Art
"ARTLA 36018 - 2-D, 3-D,4-D Seminar ",ARTLA,ARTLA 36018 ," 2-D, 3-D,4-D Seminar ",36018 ,Studio Art
ASIAN 21000 - Asians in the U.S. ,ASIAN,ASIAN 21000 , Asians in the U.S. ,21000 ,Asian American Studies
ASIAN 22001 - Asian American Women Writers ,ASIAN,ASIAN 22001 , Asian American Women Writers ,22001 ,Asian American Studies
ASIAN 22012 - Asian American Literature ,ASIAN,ASIAN 22012 , Asian American Literature ,22012 ,Asian American Studies
ASIAN 22004 - Arab American Literature ,ASIAN,ASIAN 22004 , Arab American Literature ,22004 ,Asian American Studies
ASIAN 22005 - South Asian Women’s Literature ,ASIAN,ASIAN 22005 , South Asian Women’s Literature ,22005 ,Asian American Studies
ASIAN 22006 - Filipino American Literature ,ASIAN,ASIAN 22006 , Filipino American Literature ,22006 ,Asian American Studies
ASIAN 22009 - Gender and Genre in Asian American Literature and Film ,ASIAN,ASIAN 22009 , Gender and Genre in Asian American Literature and Film ,22009 ,Asian American Studies
ASIAN 22100 - Introduction to Writing About Asian American Literature  ,ASIAN,ASIAN 22100 , Introduction to Writing About Asian American Literature  ,22100 ,Asian American Studies
ASIAN 22500 - Asian American Art  ,ASIAN,ASIAN 22500 , Asian American Art  ,22500 ,Asian American Studies
"ASIAN 32001 - Nation, Self, and Asian Identity ",ASIAN,ASIAN 32001 ," Nation, Self, and Asian Identity ",32001 ,Asian American Studies
ASIAN 32005 - Asian American Memoir ,ASIAN,ASIAN 32005 , Asian American Memoir ,32005 ,Asian American Studies
ASIAN 32100 - Asian American Social Protest Literature ,ASIAN,ASIAN 32100 , Asian American Social Protest Literature ,32100 ,Asian American Studies
ASIAN 33008 - Muslim Diasporas ,ASIAN,ASIAN 33008 , Muslim Diasporas ,33008 ,Asian American Studies
ASIAN 34001 - Asian Pacific American Media ,ASIAN,ASIAN 34001 , Asian Pacific American Media ,34001 ,Asian American Studies
ASIAN 34003 - West Asian American Literature and Film ,ASIAN,ASIAN 34003 , West Asian American Literature and Film ,34003 ,Asian American Studies
"ASIAN 33052 - Oral History, Cultural Identity and the Arts ",ASIAN,ASIAN 33052 ," Oral History, Cultural Identity and the Arts ",33052 ,Asian American Studies
ASIAN 39006 - Gender and Sexuality in Asian American Literature and Film ,ASIAN,ASIAN 39006 , Gender and Sexuality in Asian American Literature and Film ,39006 ,Asian American Studies
ASIAN 39016 - Ethnicity and American English ,ASIAN,ASIAN 39016 , Ethnicity and American English ,39016 ,Asian American Studies
ASIAN 39018 - Asian American Poetics ,ASIAN,ASIAN 39018 , Asian American Poetics ,39018 ,Asian American Studies
ASIAN 46000 - Independent Study ,ASIAN,ASIAN 46000 , Independent Study ,46000 ,Asian American Studies
ASIAN 23002 - Asian American Communities and Mental Health ,ASIAN,ASIAN 23002 , Asian American Communities and Mental Health ,23002 ,Asian American Studies
ASIAN 29000 - Asian American Studies Internship ,ASIAN,ASIAN 29000 , Asian American Studies Internship ,29000 ,Asian American Studies
ASIAN 35100 - Asian American History of Labor and Politics ,ASIAN,ASIAN 35100 , Asian American History of Labor and Politics ,35100 ,Asian American Studies
ASIAN 39001 - International Migration ,ASIAN,ASIAN 39001 , International Migration ,39001 ,Asian American Studies
ASIAN 39002 - Asian American Civil Rights and the Law ,ASIAN,ASIAN 39002 , Asian American Civil Rights and the Law ,39002 ,Asian American Studies
ASIAN 49100 - Asian American Movement and Community Organizations ,ASIAN,ASIAN 49100 , Asian American Movement and Community Organizations ,49100 ,Asian American Studies
ASIAN 23001 - Globalization and Gender ,ASIAN,ASIAN 23001 , Globalization and Gender ,23001 ,Asian American Studies
ASIAN 33001 - Chinese in the U.S. ,ASIAN,ASIAN 33001 , Chinese in the U.S. ,33001 ,Asian American Studies
ASIAN 33003 - South Asians in the U.S. ,ASIAN,ASIAN 33003 , South Asians in the U.S. ,33003 ,Asian American Studies
ASIAN 39015 - Immigration and the Economy ,ASIAN,ASIAN 39015 , Immigration and the Economy ,39015 ,Asian American Studies
ASIAN 46000 - Independent Study ,ASIAN,ASIAN 46000 , Independent Study ,46000 ,Asian American Studies
ASIAN 49000 - Immigration Policy ,ASIAN,ASIAN 49000 , Immigration Policy ,49000 ,Asian American Studies
ASTRO 10000 - Basic Concepts in Astronomy ,ASTRO,ASTRO 10000 , Basic Concepts in Astronomy ,10000 ,Astronomy
ASTRO 10100 - Basic Concepts of Astronomy with Laboratory Exercises ,ASTRO,ASTRO 10100 , Basic Concepts of Astronomy with Laboratory Exercises ,10100 ,Astronomy
ASTRO 10200 - Laboratory Explorations in Astronomy ,ASTRO,ASTRO 10200 , Laboratory Explorations in Astronomy ,10200 ,Astronomy
ASTRO 10300 - Laboratory Explorations in Astronomy ,ASTRO,ASTRO 10300 , Laboratory Explorations in Astronomy ,10300 ,Astronomy
ASTRO 10700 - Laboratory Exercises in Astronomy ,ASTRO,ASTRO 10700 , Laboratory Exercises in Astronomy ,10700 ,Astronomy
ASTRO 18100 - Astronomy of the Solar System ,ASTRO,ASTRO 18100 , Astronomy of the Solar System ,18100 ,Astronomy
ASTRO 18200 - Stellar Astronomy ,ASTRO,ASTRO 18200 , Stellar Astronomy ,18200 ,Astronomy
BIOL 10000  - Principles of Biology I ,BIOL,BIOL 10000  , Principles of Biology I ,10000  ,Biological Sciences
BIOL 10200  - Principles of Biology II ,BIOL,BIOL 10200  , Principles of Biology II ,10200  ,Biological Sciences
BIOL 10500 - Introduction to Genome Biology ,BIOL,BIOL 10500 , Introduction to Genome Biology ,10500 ,Biological Sciences
BIOL 10700 - The Human Barcode: Biology and Genetics of Personal Identification ,BIOL,BIOL 10700 , The Human Barcode: Biology and Genetics of Personal Identification ,10700 ,Biological Sciences
BIOL 12000 - Anatomy and Physiology I ,BIOL,BIOL 12000 , Anatomy and Physiology I ,12000 ,Biological Sciences
BIOL 12200 - Anatomy and Physiology II ,BIOL,BIOL 12200 , Anatomy and Physiology II ,12200 ,Biological Sciences
BIOL 12500  - Human Biology ,BIOL,BIOL 12500  , Human Biology ,12500  ,Biological Sciences
BIOL 15000  - CSI:  HUNTER (Forensic Biology) ,BIOL,BIOL 15000  , CSI:  HUNTER (Forensic Biology) ,15000  ,Biological Sciences
BIOL 16000 - Honors Principles of Biology II ,BIOL,BIOL 16000 , Honors Principles of Biology II ,16000 ,Biological Sciences
BIOL 17500 - Choreographing Genomics ,BIOL,BIOL 17500 , Choreographing Genomics ,17500 ,Biological Sciences
BIOL 20300 - Molecular Biology and Genetics ,BIOL,BIOL 20300 , Molecular Biology and Genetics ,20300 ,Biological Sciences
BIOL 23000 - Fundamentals of Microbiology ,BIOL,BIOL 23000 , Fundamentals of Microbiology ,23000 ,Biological Sciences
BIOL 23100 - Survey of Microbiology with Case Studies ,BIOL,BIOL 23100 , Survey of Microbiology with Case Studies ,23100 ,Biological Sciences
BIOL 25000 - Current Topics in the Biosciences  ,BIOL,BIOL 25000 , Current Topics in the Biosciences  ,25000 ,Biological Sciences
BIOL 30000 - Biological Chemistry ,BIOL,BIOL 30000 , Biological Chemistry ,30000 ,Biological Sciences
BIOL 30100 - Biological Chemistry ,BIOL,BIOL 30100 , Biological Chemistry ,30100 ,Biological Sciences
BIOL 30300 - Cell Biology ,BIOL,BIOL 30300 , Cell Biology ,30300 ,Biological Sciences
BIOL 30400 - Environmental Microbiology ,BIOL,BIOL 30400 , Environmental Microbiology ,30400 ,Biological Sciences
BIOL 30600 - Developmental Biology ,BIOL,BIOL 30600 , Developmental Biology ,30600 ,Biological Sciences
BIOL 32000 - Genetics ,BIOL,BIOL 32000 , Genetics ,32000 ,Biological Sciences
BIOL 32200 - Evolution ,BIOL,BIOL 32200 , Evolution ,32200 ,Biological Sciences
BIOL 35000 - The Biology of Cancer ,BIOL,BIOL 35000 , The Biology of Cancer ,35000 ,Biological Sciences
BIOL 36000 - Cellular and Molecular Immunology ,BIOL,BIOL 36000 , Cellular and Molecular Immunology ,36000 ,Biological Sciences
BIOL 37000 - Physiology of the Nervous System ,BIOL,BIOL 37000 , Physiology of the Nervous System ,37000 ,Biological Sciences
BIOL 37500 - Molecular Systematics ,BIOL,BIOL 37500 , Molecular Systematics ,37500 ,Biological Sciences
BIOL 37600 - Endocrinology ,BIOL,BIOL 37600 , Endocrinology ,37600 ,Biological Sciences
BIOL 38000 - Molecular Neurobiology ,BIOL,BIOL 38000 , Molecular Neurobiology ,38000 ,Biological Sciences
BIOL 39000 - Laboratory in Cell Structure ,BIOL,BIOL 39000 , Laboratory in Cell Structure ,39000 ,Biological Sciences
BIOL 39100 - Laboratory in Cell Structure – Biological Electron Microscopy ,BIOL,BIOL 39100 , Laboratory in Cell Structure – Biological Electron Microscopy ,39100 ,Biological Sciences
BIOL 42500 - Computational Molecular Biology ,BIOL,BIOL 42500 , Computational Molecular Biology ,42500 ,Biological Sciences
BIOL 45000 - Individual Tutorial in Biology ,BIOL,BIOL 45000 , Individual Tutorial in Biology ,45000 ,Biological Sciences
BIOL 46000 - Introduction to Planning and Teaching of Laboratory Work in Biology ,BIOL,BIOL 46000 , Introduction to Planning and Teaching of Laboratory Work in Biology ,46000 ,Biological Sciences
BIOL 47000 - Special Topics in Biology ,BIOL,BIOL 47000 , Special Topics in Biology ,47000 ,Biological Sciences
BIOL 47100 - Special Topics in Biology ,BIOL,BIOL 47100 , Special Topics in Biology ,47100 ,Biological Sciences
BIOL 48000 - Introduction to Experimental Biology ,BIOL,BIOL 48000 , Introduction to Experimental Biology ,48000 ,Biological Sciences
BIOL 48100 - Introduction to Experimental Biology ,BIOL,BIOL 48100 , Introduction to Experimental Biology ,48100 ,Biological Sciences
BIOL 48200 - Introduction to Experimental biology ,BIOL,BIOL 48200 , Introduction to Experimental biology ,48200 ,Biological Sciences
BIOL 48300 - Introduction to Experimental Biology ,BIOL,BIOL 48300 , Introduction to Experimental Biology ,48300 ,Biological Sciences
BIOL 20800 - Ecology ,BIOL,BIOL 20800 , Ecology ,20800 ,Biological Sciences
BIOL 22000 - Topics in Genetics and Evolution ,BIOL,BIOL 22000 , Topics in Genetics and Evolution ,22000 ,Biological Sciences
BIOL 25200 - Comparative Anatomy of the Vertebrates ,BIOL,BIOL 25200 , Comparative Anatomy of the Vertebrates ,25200 ,Biological Sciences
BIOL 28000 - Biochemistry of Health and Nutrition ,BIOL,BIOL 28000 , Biochemistry of Health and Nutrition ,28000 ,Biological Sciences
BIOL 33500 - Comparative Animal Physiology ,BIOL,BIOL 33500 , Comparative Animal Physiology ,33500 ,Biological Sciences
BIOL 34000 - Plant Physiology ,BIOL,BIOL 34000 , Plant Physiology ,34000 ,Biological Sciences
BIOL 38500 - Fundamentals of Developmental Neurobiology ,BIOL,BIOL 38500 , Fundamentals of Developmental Neurobiology ,38500 ,Biological Sciences
BIOL 40000 - Special Topics in Advanced Laboratory Techniques ,BIOL,BIOL 40000 , Special Topics in Advanced Laboratory Techniques ,40000 ,Biological Sciences
CHEM 10000  - Essentials of General Chemistry Lecture ,CHEM,CHEM 10000  , Essentials of General Chemistry Lecture ,10000  ,Chemistry
CHEM 10100 - Inquiries into the Nature of Matter ,CHEM,CHEM 10100 , Inquiries into the Nature of Matter ,10100 ,Chemistry
